"Lepto","Running_off_leash","Water"
"85","FALSE","FALSE","FALSE"
"86","TRUE","TRUE","FALSE"
"87","FALSE","FALSE","FALSE"
"88","TRUE","FALSE","FALSE"
"89","TRUE","FALSE","TRUE"
"90","FALSE","FALSE","FALSE"
"91","FALSE","FALSE","FALSE"
"92","TRUE","FALSE","FALSE"
"93","TRUE","FALSE","FALSE"
"94","TRUE","FALSE","TRUE"
"95","TRUE","TRUE","FALSE"
"96","TRUE","TRUE","TRUE"
"97","TRUE","TRUE","FALSE"
"98","TRUE","FALSE","TRUE"
"99","FALSE","FALSE","TRUE"
"100","TRUE","TRUE","FALSE"
"101","TRUE","FALSE","TRUE"
"102","FALSE","FALSE","FALSE"
"103","TRUE","TRUE","FALSE"
"104","FALSE","FALSE","FALSE"
"105","TRUE","TRUE","FALSE"
"106","FALSE","FALSE","FALSE"
"107","FALSE","FALSE","FALSE"
"108","TRUE","FALSE","FALSE"
"109","FALSE","FALSE","FALSE"
"110","TRUE","TRUE","FALSE"
"111","FALSE","FALSE","TRUE"
"112","TRUE","FALSE","FALSE"
"113","TRUE","TRUE","FALSE"
"114","FALSE","FALSE","FALSE"
"115","FALSE","FALSE","FALSE"
"116","TRUE","TRUE","TRUE"
"117","FALSE","FALSE","FALSE"
"118","FALSE","FALSE","FALSE"
"119","FALSE","FALSE","FALSE"
"120","TRUE","TRUE","FALSE"
"121","TRUE","TRUE","FALSE"
"122","TRUE","FALSE","FALSE"
"123","TRUE","TRUE","FALSE"
"124","TRUE","FALSE","FALSE"
"125","TRUE","FALSE","FALSE"
"126","TRUE","TRUE","FALSE"
"127","FALSE","FALSE","FALSE"
"128","FALSE","TRUE","FALSE"
"129","TRUE","TRUE","FALSE"
"130","TRUE","FALSE","FALSE"
"131","TRUE","TRUE","FALSE"
"132","FALSE","FALSE","FALSE"
"133","TRUE","FALSE","FALSE"
"134","FALSE","FALSE","FALSE"
"135","TRUE","FALSE","FALSE"
"136","TRUE","FALSE","FALSE"
"137","FALSE","FALSE","FALSE"
"138","FALSE","FALSE","TRUE"
"139","TRUE","TRUE","FALSE"
"140","FALSE","FALSE","FALSE"
"141","TRUE","FALSE","FALSE"
"142","TRUE","TRUE","TRUE"
"143","TRUE","FALSE","FALSE"
"144","FALSE","FALSE","FALSE"
"145","TRUE","TRUE","FALSE"
"146","FALSE","FALSE","FALSE"
"147","TRUE","TRUE","FALSE"
"148","TRUE","TRUE","FALSE"
"149","TRUE","FALSE","FALSE"
"150","TRUE","TRUE","FALSE"
"151","TRUE","TRUE","FALSE"
"152","TRUE","FALSE","FALSE"
"153","FALSE","FALSE","FALSE"
"154","TRUE","FALSE","FALSE"
"155","FALSE","FALSE","FALSE"
"156","TRUE","TRUE","FALSE"
"157","FALSE","FALSE","TRUE"
"158","TRUE","FALSE","FALSE"
"159","FALSE","FALSE","FALSE"
"160","TRUE","TRUE","FALSE"
"161","TRUE","FALSE","FALSE"
"162","TRUE","TRUE","FALSE"
"163","FALSE","FALSE","FALSE"
"164","TRUE","TRUE","FALSE"
"165","FALSE","FALSE","FALSE"
"166","FALSE","FALSE","FALSE"
"167","TRUE","FALSE","TRUE"
"168","TRUE","FALSE","FALSE"
"169","TRUE","FALSE","FALSE"
"170","FALSE","FALSE","FALSE"
"171","FALSE","TRUE","FALSE"
"172","TRUE","FALSE","FALSE"
"173","TRUE","TRUE","FALSE"
"174","TRUE","TRUE","FALSE"
"175","TRUE","TRUE","FALSE"
"176","TRUE","FALSE","FALSE"
"177","FALSE","FALSE","FALSE"
"178","FALSE","FALSE","FALSE"
"179","TRUE","FALSE","FALSE"
"180","FALSE","TRUE","FALSE"
"181","TRUE","FALSE","FALSE"
"182","FALSE","FALSE","FALSE"
"183","FALSE","FALSE","FALSE"
"184","TRUE","FALSE","FALSE"
"185","FALSE","FALSE","FALSE"
"186","TRUE","FALSE","FALSE"
"187","TRUE","TRUE","FALSE"
"188","TRUE","TRUE","FALSE"
"189","TRUE","FALSE","TRUE"
"190","FALSE","FALSE","FALSE"
"191","TRUE","FALSE","FALSE"
"192","TRUE","TRUE","FALSE"
"193","TRUE","FALSE","FALSE"
"194","FALSE","FALSE","FALSE"
"195","TRUE","FALSE","FALSE"
"196","TRUE","FALSE","FALSE"
"197","TRUE","TRUE","FALSE"
"198","TRUE","TRUE","FALSE"
"199","TRUE","FALSE","FALSE"
"200","FALSE","FALSE","FALSE"
"201","TRUE","TRUE","FALSE"
"202","TRUE","FALSE","FALSE"
"203","FALSE","FALSE","FALSE"
"204","FALSE","FALSE","FALSE"
"205","TRUE","FALSE","FALSE"
"206","TRUE","TRUE","FALSE"
"207","TRUE","TRUE","FALSE"
"208","TRUE","FALSE","FALSE"
"209","TRUE","FALSE","FALSE"
"210","TRUE","FALSE","FALSE"
"211","TRUE","FALSE","FALSE"
"212","FALSE","FALSE","FALSE"
"213","TRUE","TRUE","FALSE"
"214","TRUE","FALSE","FALSE"
"215","TRUE","FALSE","FALSE"
"216","FALSE","FALSE","TRUE"
"217","TRUE","TRUE","FALSE"
"218","TRUE","TRUE","FALSE"
"219","TRUE","TRUE","FALSE"
"220","FALSE","FALSE","FALSE"
"221","FALSE","FALSE","FALSE"
"222","TRUE","TRUE","FALSE"
"223","TRUE","TRUE","FALSE"
"224","TRUE","FALSE","FALSE"
"225","FALSE","FALSE","FALSE"
"226","TRUE","TRUE","FALSE"
"227","TRUE","FALSE","TRUE"
"228","FALSE","FALSE","TRUE"
"229","FALSE","TRUE","TRUE"
"230","FALSE","FALSE","FALSE"
"231","FALSE","FALSE","FALSE"
"232","TRUE","TRUE","FALSE"
"233","FALSE","FALSE","FALSE"
"234","TRUE","FALSE","FALSE"
"235","TRUE","FALSE","FALSE"
"236","TRUE","FALSE","FALSE"
"237","TRUE","FALSE","FALSE"
"238","FALSE","FALSE","FALSE"
"239","TRUE","FALSE","FALSE"
"240","FALSE","TRUE","FALSE"
"241","TRUE","FALSE","FALSE"
"242","TRUE","TRUE","FALSE"
"243","FALSE","FALSE","FALSE"
"244","TRUE","TRUE","FALSE"
"245","TRUE","TRUE","FALSE"
"246","TRUE","TRUE","FALSE"
"247","FALSE","FALSE","FALSE"
"248","TRUE","FALSE","FALSE"
"249","FALSE","FALSE","FALSE"
"250","TRUE","FALSE","FALSE"
"251","TRUE","TRUE","FALSE"
"252","TRUE","TRUE","FALSE"
"253","TRUE","FALSE","FALSE"
"254","TRUE","TRUE","FALSE"
"255","TRUE","TRUE","FALSE"
"256","FALSE","FALSE","FALSE"
"257","TRUE","TRUE","TRUE"
"258","FALSE","FALSE","FALSE"
"259","TRUE","FALSE","FALSE"
"260","TRUE","TRUE","FALSE"
"261","TRUE","TRUE","FALSE"
"262","TRUE","FALSE","FALSE"
"263","TRUE","FALSE","FALSE"
"264","FALSE","FALSE","FALSE"
"265","TRUE","FALSE","FALSE"
"266","FALSE","FALSE","FALSE"
"267","TRUE","FALSE","FALSE"
"268","TRUE","FALSE","FALSE"
"269","FALSE","TRUE","FALSE"
"270","TRUE","FALSE","FALSE"
"271","TRUE","TRUE","FALSE"
"272","FALSE","TRUE","FALSE"
"273","TRUE","FALSE","FALSE"
"274","TRUE","TRUE","FALSE"
"275","TRUE","FALSE","FALSE"
"276","TRUE","FALSE","FALSE"
"277","FALSE","FALSE","FALSE"
"278","FALSE","TRUE","FALSE"
"279","FALSE","FALSE","FALSE"
"280","FALSE","FALSE","FALSE"
"281","TRUE","TRUE","FALSE"
"282","TRUE","TRUE","FALSE"
"283","FALSE","FALSE","TRUE"
"284","FALSE","FALSE","FALSE"
"285","TRUE","TRUE","FALSE"
"286","TRUE","FALSE","FALSE"
"287","FALSE","FALSE","FALSE"
"288","TRUE","TRUE","FALSE"
"289","TRUE","TRUE","FALSE"
"290","FALSE","FALSE","FALSE"
"291","TRUE","FALSE","TRUE"
"292","FALSE","FALSE","FALSE"
"293","TRUE","TRUE","FALSE"
"294","FALSE","FALSE","FALSE"
"295","TRUE","FALSE","FALSE"
"296","TRUE","FALSE","FALSE"
"297","FALSE","FALSE","FALSE"
"298","TRUE","TRUE","FALSE"
"299","TRUE","FALSE","FALSE"
"300","FALSE","FALSE","FALSE"
"301","FALSE","FALSE","TRUE"
"302","TRUE","FALSE","FALSE"
"303","TRUE","TRUE","FALSE"
"304","TRUE","FALSE","FALSE"
"305","FALSE","TRUE","FALSE"
"306","TRUE","TRUE","FALSE"
"307","FALSE","TRUE","FALSE"
"308","TRUE","TRUE","FALSE"
"309","TRUE","TRUE","TRUE"
"310","TRUE","TRUE","FALSE"
"311","FALSE","FALSE","FALSE"
"312","TRUE","TRUE","FALSE"
"313","TRUE","FALSE","FALSE"
"314","TRUE","TRUE","FALSE"
"315","TRUE","TRUE","FALSE"
"316","TRUE","FALSE","FALSE"
"317","TRUE","FALSE","FALSE"
"318","FALSE","FALSE","TRUE"
"319","TRUE","TRUE","FALSE"
"320","TRUE","TRUE","FALSE"
"321","TRUE","FALSE","FALSE"
"322","FALSE","TRUE","FALSE"
"323","TRUE","TRUE","FALSE"
"324","FALSE","FALSE","FALSE"
"325","FALSE","TRUE","FALSE"
"326","FALSE","FALSE","FALSE"
"327","TRUE","TRUE","FALSE"
"328","TRUE","TRUE","TRUE"
"329","TRUE","FALSE","FALSE"
"330","FALSE","FALSE","FALSE"
"331","FALSE","FALSE","FALSE"
"332","FALSE","FALSE","FALSE"
"333","TRUE","TRUE","FALSE"
"334","FALSE","FALSE","FALSE"
"335","FALSE","FALSE","FALSE"
"336","FALSE","FALSE","FALSE"
"337","TRUE","FALSE","FALSE"
"338","TRUE","FALSE","FALSE"
"339","FALSE","TRUE","FALSE"
"340","TRUE","FALSE","FALSE"
"341","FALSE","FALSE","FALSE"
"342","TRUE","TRUE","FALSE"
"343","TRUE","FALSE","FALSE"
"344","TRUE","FALSE","FALSE"
"345","FALSE","FALSE","FALSE"
"346","FALSE","FALSE","FALSE"
"347","TRUE","FALSE","TRUE"
"348","FALSE","FALSE","FALSE"
"349","TRUE","TRUE","FALSE"
"350","TRUE","FALSE","FALSE"
"351","FALSE","FALSE","FALSE"
"352","FALSE","TRUE","FALSE"
"353","TRUE","TRUE","FALSE"
"354","TRUE","TRUE","FALSE"
"355","TRUE","FALSE","FALSE"
"356","TRUE","TRUE","FALSE"
"357","TRUE","FALSE","FALSE"
"358","FALSE","FALSE","FALSE"
"359","TRUE","FALSE","FALSE"
"360","FALSE","FALSE","FALSE"
"361","FALSE","FALSE","FALSE"
"362","TRUE","TRUE","FALSE"
"363","TRUE","TRUE","FALSE"
"364","TRUE","TRUE","FALSE"
"365","TRUE","TRUE","FALSE"
"366","FALSE","FALSE","FALSE"
"367","TRUE","FALSE","FALSE"
"368","TRUE","FALSE","FALSE"
"369","FALSE","FALSE","FALSE"
"370","TRUE","FALSE","FALSE"
"371","TRUE","TRUE","TRUE"
"372","FALSE","FALSE","FALSE"
"373","TRUE","TRUE","FALSE"
"374","TRUE","FALSE","FALSE"
"375","TRUE","FALSE","FALSE"
"376","TRUE","TRUE","FALSE"
"377","TRUE","TRUE","FALSE"
"378","TRUE","TRUE","FALSE"
"379","TRUE","TRUE","FALSE"
"380","TRUE","TRUE","TRUE"
"381","TRUE","FALSE","FALSE"
"382","TRUE","TRUE","FALSE"
"383","FALSE","FALSE","FALSE"
"384","TRUE","TRUE","FALSE"
"385","FALSE","FALSE","FALSE"
"386","TRUE","TRUE","FALSE"
"387","FALSE","FALSE","FALSE"
"388","TRUE","FALSE","FALSE"
"389","FALSE","FALSE","FALSE"
"390","TRUE","FALSE","FALSE"
"391","TRUE","TRUE","FALSE"
"392","FALSE","FALSE","FALSE"
"393","FALSE","FALSE","FALSE"
"394","FALSE","FALSE","FALSE"
"395","TRUE","TRUE","FALSE"
"396","TRUE","TRUE","FALSE"
"397","TRUE","FALSE","FALSE"
"398","FALSE","FALSE","FALSE"
"399","FALSE","FALSE","TRUE"
"400","FALSE","FALSE","FALSE"
"401","TRUE","FALSE","FALSE"
"402","FALSE","FALSE","FALSE"
"403","FALSE","FALSE","FALSE"
"404","TRUE","FALSE","FALSE"
"405","FALSE","FALSE","FALSE"
"406","TRUE","FALSE","FALSE"
"407","TRUE","FALSE","FALSE"
"408","TRUE","FALSE","FALSE"
"409","TRUE","FALSE","FALSE"
"410","FALSE","FALSE","FALSE"
"411","FALSE","FALSE","FALSE"
"412","FALSE","FALSE","FALSE"
"413","FALSE","FALSE","FALSE"
"414","TRUE","TRUE","FALSE"
"415","TRUE","TRUE","FALSE"
"416","TRUE","TRUE","FALSE"
"417","FALSE","FALSE","FALSE"
"418","FALSE","FALSE","FALSE"
"419","TRUE","TRUE","FALSE"
"420","FALSE","FALSE","FALSE"
"421","FALSE","FALSE","FALSE"
"422","TRUE","TRUE","FALSE"
"423","TRUE","FALSE","FALSE"
"424","TRUE","TRUE","TRUE"
"425","FALSE","FALSE","FALSE"
"426","TRUE","TRUE","FALSE"
"427","TRUE","FALSE","FALSE"
"428","TRUE","TRUE","FALSE"
"429","TRUE","TRUE","FALSE"
"430","TRUE","TRUE","FALSE"
"431","FALSE","TRUE","FALSE"
"432","TRUE","FALSE","FALSE"
"433","TRUE","TRUE","FALSE"
"434","TRUE","FALSE","FALSE"
"435","TRUE","FALSE","TRUE"
"436","FALSE","FALSE","FALSE"
"437","FALSE","FALSE","FALSE"
"438","TRUE","TRUE","FALSE"
"439","TRUE","FALSE","FALSE"
"440","TRUE","TRUE","FALSE"
"441","TRUE","FALSE","FALSE"
"442","FALSE","FALSE","FALSE"
"443","FALSE","FALSE","TRUE"
"444","FALSE","FALSE","FALSE"
"445","TRUE","TRUE","FALSE"
"446","TRUE","FALSE","FALSE"
"447","TRUE","FALSE","FALSE"
"448","TRUE","FALSE","TRUE"
"449","FALSE","FALSE","FALSE"
"450","FALSE","FALSE","FALSE"
"451","TRUE","TRUE","FALSE"
"452","TRUE","TRUE","FALSE"
"453","TRUE","FALSE","FALSE"
"454","FALSE","FALSE","FALSE"
"455","FALSE","FALSE","FALSE"
"456","TRUE","TRUE","FALSE"
"457","FALSE","FALSE","FALSE"
"458","FALSE","TRUE","TRUE"
"459","FALSE","FALSE","FALSE"
"460","FALSE","TRUE","FALSE"
"461","TRUE","FALSE","FALSE"
"462","FALSE","FALSE","FALSE"
"463","FALSE","TRUE","TRUE"
"464","TRUE","TRUE","FALSE"
"465","TRUE","FALSE","FALSE"
"466","TRUE","FALSE","FALSE"
"467","TRUE","FALSE","FALSE"
"468","TRUE","FALSE","FALSE"
"469","TRUE","FALSE","TRUE"
"470","TRUE","TRUE","FALSE"
"471","TRUE","FALSE","FALSE"
"472","TRUE","TRUE","FALSE"
"473","TRUE","TRUE","FALSE"
"474","TRUE","FALSE","FALSE"
"475","TRUE","FALSE","FALSE"
"476","TRUE","FALSE","TRUE"
"477","TRUE","FALSE","FALSE"
"478","TRUE","TRUE","TRUE"
"479","TRUE","TRUE","FALSE"
"480","FALSE","FALSE","FALSE"
"481","TRUE","FALSE","FALSE"
"482","FALSE","FALSE","FALSE"
"483","TRUE","TRUE","TRUE"
"484","FALSE","FALSE","FALSE"
"485","TRUE","TRUE","FALSE"
"486","FALSE","FALSE","FALSE"
"487","FALSE","TRUE","FALSE"
"488","TRUE","FALSE","FALSE"
"489","TRUE","FALSE","TRUE"
"490","TRUE","FALSE","FALSE"
"491","TRUE","FALSE","FALSE"
"492","FALSE","FALSE","FALSE"
"493","TRUE","TRUE","FALSE"
"494","TRUE","FALSE","FALSE"
"495","TRUE","TRUE","FALSE"
"496","TRUE","FALSE","FALSE"
"497","TRUE","FALSE","FALSE"
"498","FALSE","FALSE","FALSE"
"499","TRUE","TRUE","FALSE"
"500","TRUE","FALSE","FALSE"
